ORAN;DURUM;PROGRAM
1;AKTİF;KÜLTÜREL MİRAS VE TURİZM                                                                            
1;AKTİF;SAĞLIK KURUMLARI İŞLETMECİLİĞİ                                                                      
1;AKTİF;İŞ SAĞLIĞI VE GÜVENLİĞİ                                                                             
1;AKTİF;YEREL YÖNETİMLER                                                                                    
1;AKTİF;TURİZM VE OTEL İŞLETMECİLİĞİ                                                                        
1;AKTİF;EV İDARESİ                                                                                          
1;AKTİF;ADALET                                                                                              
1;AKTİF;İLAHİYAT                                                                                            
1;AKTİF;MALİYE                                                                                              
1;AKTİF;ELEKTRİK ENERJİSİ ÜRETİM İLETİM VE DAĞITIMI
1;AKTİF;İŞ SAĞLIĞI VE GÜVENLİĞİ                                                                             
1;AKTİF;YEREL YÖNETİMLER                                                                                    
1;AKTİF;LABORANT VE VETERİNER SAĞLIK                                                                        
1;AKTİF;EV İDARESİ                                                                                          
1;AKTİF;ADALET                                                                                              
1;AKTİF;İLAHİYAT                                                                                            
1;AKTİF;MALİYE                                                                                              
1;AKTİF;ELEKTRİK ENERJİSİ ÜRETİM İLETİM VE DAĞITIMI
1;AKTİF;İŞ SAĞLIĞI VE GÜVENLİĞİ                                                                             
1;AKTİF;DIŞ TİCARET                                                                                         
1;AKTİF;MEDYA VE İLETİŞİM                                                                                   
1;AKTİF;EV İDARESİ                                                                                          
1;AKTİF;ADALET                                                                                              
1;AKTİF;İLAHİYAT                                                                                            
1;AKTİF;MALİYE                                                                                              
1;AKTİF;AŞÇILIK                                                                                             
1;AKTİF;İŞ SAĞLIĞI VE GÜVENLİĞİ                                                                             
1;AKTİF;DIŞ TİCARET                                                                                         
1;AKTİF;BÜRO YÖNETİMİ VE YÖNETİCİ ASİSTANLIĞI                                                               
1;AKTİF;HALKLA İLİŞKİLER VE TANITIM                                                                         
1;AKTİF;ADALET                                                                                              
1;AKTİF;TIBBİ DOKÜMANTASYON VE SEKRETERLİK                                                                  
1;AKTİF;MALİYE                                                                                              
1;AKTİF;AŞÇILIK                                                                                             
1;AKTİF;İŞ SAĞLIĞI VE GÜVENLİĞİ                                                                             
1;AKTİF;SOSYAL HİZMETLER                                                                                    
1;AKTİF;SOSYOLOJİ                                                                                           
1;AKTİF;HALKLA İLİŞKİLER VE TANITIM                                                                         
1;AKTİF;ADALET                                                                                              
1;AKTİF;TIBBİ DOKÜMANTASYON VE SEKRETERLİK                                                                  
1;AKTİF;YÖNETİM BİLİŞİM SİSTEMLERİ                                                                          
1;AKTİF;AŞÇILIK                                                                                             
1;AKTİF;MENKUL KIYMETLER VE SERMAYE PİYASASI                                                                
1;AKTİF;SOSYAL HİZMETLER                                                                                    
1;AKTİF;SOSYOLOJİ                                                                                           
1;AKTİF;HALKLA İLİŞKİLER VE TANITIM                                                                         
1;AKTİF;MENKUL KIYMETLER VE SERMAYE PİYASASI                                                                
1;AKTİF;TIBBİ DOKÜMANTASYON VE SEKRETERLİK                                                                  
1;AKTİF;YÖNETİM BİLİŞİM SİSTEMLERİ                                                                          
1;AKTİF;İKTİSAT                                                                                             
1;AKTİF;WEB TASARIMI VE KODLAMA                                                                             
1;AKTİF;SOSYAL HİZMETLER                                                                                    
1;AKTİF;SOSYOLOJİ                                                                                           
1;AKTİF;YAŞLI BAKIMI                                                                                        
1;AKTİF;WEB TASARIMI VE KODLAMA                                                                             
1;AKTİF;TIBBİ DOKÜMANTASYON VE SEKRETERLİK                                                                  
1;AKTİF;YÖNETİM BİLİŞİM SİSTEMLERİ                                                                          
1;AKTİF;İKTİSAT                                                                                             
