word,count
bir,5659
bu,2932
ve,2425
de,2004
da,1519
ama,1335
gibi,1266
ne,1234
o,1155
için,1053
daha,970
kadar,751
diye,738
çok,601
her,573
sonra,556
ki,549
en,503
değil,498
ben,497
bütün,494
iki,489
mi,485
hiç,473
bile,441
önce,437
ali,421
büyük,421
olan,414
ya,387
var,381
yok,369
onu,361
artık,349
başkomiserim,348
şu,343
mı,339
şey,338
zaman,337
belki,324
iyi,321
öyle,312
içinde,312
evet,306
bana,302
işte,291
ilk,285
yeniden,284
yine,280
tek,278
beni,276
yani,273
vardı,273
hiçbir,268
âdem,268
doğru,260
adam,254
benim,251
hemen,250
olarak,249
nasıl,243
fakat,243
son,243
böyle,239
şimdi,238
kendi,238
yeni,233
leyla,230
çünkü,230
hayır,229
bizim,225
aynı,224
kez,223
onun,219
olduğunu,218
başka,215
sadece,214
üç,211
demir,210
nevzat,206
sen,206
tam,205
oldu,202
ona,198
gün,194
dedi,191
biri,186
zeynep,186
eski,186
insan,181
küçük,179
sanki,179
hâlâ,178
karşı,177
bunu,177
neden,175
ile,175
güzel,172
üzerine,171
ancak,167
biraz,165
önemli,165
üzerinde,162
yıl,160
olduğu,157
yoktu,156
anda,155
tabii,154
hem,151
necdet,150
diyerek,145
az,141
birkaç,141
yoksa,140
gece,138
genç,138
yer,138
bizi,138
biz,137
birlikte,137
tamam,136
on,136
evgenia,136
sultan,135
demek,134
değildi,133
dedim,132
an,130
pek,130
adamın,128
geri,128
bize,127
yekta,126
tarihi,126
siz,125
mu,124
namık,123
fark,123
sonunda,122
yerine,122
dört,122
kim,122
gözleri,121
önünde,120
bey,119
eğer,117
fazla,117
sesi,117
yüz,116
onları,115
hep,115
beş,113
yere,113
öteki,113
alinin,112
burada,111
zaten,110
bakıyordu,110
fatih,110
emin,109
yalnızca,108
yanında,108
saat,107
ağır,106
gözlerini,106
olur,106
iş,105
tolstoy,105
imparator,103
etti,103
yüzden,103
sesle,102
arasında,101
galiba,100
sağ,100
hatta,99
ikinci,99
binlerce,98
başını,98
rağmen,98
istanbul,98
türlü,98
olsun,97
ise,97
şeyi,97
niye,96
aslında,96
altın,95
yerde,95
henüz,95
baktım,95
tıpkı,92
hepsi,91
baktı,90
kendini,90
bin,90
uzun,90
olacak,88
size,87
savaş,87
söz,87
onlar,86
olsa,86
başına,86
göre,86
konstantin,85
üstelik,85
adım,85
gelen,85
başlamıştı,85
gerçekten,84
iyice,83
roma,83
tavırla,83
beri,83
tanrı,83
katiller,83
gerçek,83
kadın,82
oluyor,82
içeri,82
yedi,82
sabah,81
altında,81
bunlar,81
sikke,81
şeyler,80
boş,80
tuhaf,79
işi,79
sizin,79
insanlar,78
yezdan,78
adamı,78
kötü,78
kişi,78
yardım,78
geldi,78
sordum,77
önüne,77
necdetin,77
dolu,77
bunun,77
boyunca,77
gerek,77
polis,77
ele,76
adı,76
derin,76
zorunda,76
yanlış,75
eliyle,74
onların,74
kendimi,74
akşam,74
acı,74
yol,74
filan,74
ediyor,73
eden,73
kabul,73
kendisine,73
görünce,73
kendisini,72
içine,72
kimse,72
olabilir,71
ercan,71
döndü,71
dün,71
sizi,71
açık,71
mırıldandı,71
göz,70
gösterdi,70
usulca,70
kurban,70
yüzü,70
el,70
katil,70
bunları,70
ifade,69
yüzünde,69
olmak,69
osmanlı,69
ilgili,68
orada,68
cinayet,68
topkapı,68
kurbanın,68
belli,68
senin,67
mukadder,67
olmuş,67
kutsal,67
yüzüne,66
ömer,66
katillerin,66
peki,65
yandan,65
kısa,65
dünya,65
benden,65
ettim,64
kesin,64
dünyanın,64
yüzüme,64
hadi,64
kan,64
yana,64
işe,63
hanım,63
händel,63
yavaş,63
bulunduğu,63
hakkında,63
işin,62
geçen,62
böylece,62
beyaz,62
merak,62
insanın,62
birden,62
başladı,62
ay,61
geliyor,61
seni,61
korkunç,61
zeynepin,61
bilmiyorum,61
ses,61
işaret,61
görkemli,61
sana,61
gibiydi,60
üzerindeki,60
tarafından,60
zor,60
yezdanın,60
yalan,60
gördüm,60
kral,59
bugün,59
geç,59
hızla,59
demirin,59
neyse,59
kapının,58
olması,58
buraya,58
ölüm,58
ii,57
etmek,57
kurbanlarını,57
yaptığı,57
sert,57
devam,57
güçlü,57
karşısında,57
haber,56
şöyle,56
kendisi,56
bakalım,56
olmalı,56
ortaya,56
iri,56
kapı,55
olay,55
ayasofya,55
zavallı,55
verdiği,55
gösteriyordu,55
olmuştu,54
sürdürdü,54
elinde,54
tarih,54
hareket,54
biliyor,54
yüzünden,54
birer,54
allah,54
ondan,54
ikisi,53
çıktı,53
ardından,53
onlara,53
yakın,53
izin,53
bulunan,53
yüzünü,53
belirdi,53
geniş,53
vardır,53
halde,53
yanına,53
süre,53
sakin,53
değildir,53
başımı,53
leylanın,52
çalıştım,52
hayal,52
masanın,52
balboa,52
olursa,52
muhteşem,51
yazık,51
hangi,51
lazım,51
sanırım,51
et,51
olmalıydı,51
altı,51
istiyordu,51
kolay,51
hani,50
gelmiş,50
miydi,50
ettiği,50
zamanlar,50
bizans,50
para,50
mimar,50
eve,50
göze,50
gözlerinde,49
byzantion,49
camii,49
günü,49
içindeki,49
kenti,49
oysa,49
evine,49
kentin,49
yola,49
aldı,48
kalmış,48
insanları,48
burası,48
şehrin,48
bakın,48
bakışlarını,48
varmış,48
maktulün,48
gecenin,48
üzere,47
tür,47
sordu,47
olabilirdi,47
dakika,47
sinan,47
karar,47
hoş,47
alan,47
yazıyor,46
herkes,46
deniz,46
dile,46
bak,46
handan,46
nereye,46
üçüncü,46
karanlık,46
birinin,46
arkasında,46
onunla,46
ceset,46
yüzlerce,46
ışık,46
lütfen,45
kurbanların,45
istiyor,45
yapan,45
bakışları,45
ince,45
isteyen,45
ellerini,45
sol,45
asıl,44
yan,44
bundan,44
kaldı,44
derece,44
elindeki,44
araya,44
yirmi,44
dev,44
şehri,44
aliye,44
söylendi,44
olmayan,43
adına,43
çocuk,43
teşekkür,43
ahşap,43
yüksek,43
iç,43
bırakıp,43
mehmet,43
ömerin,43
yeri,43
allahın,43
buna,43
insanların,43
yardımcım,42
yorgun,42
sözleri,42
ardına,42
adını,42
konstantinin,42
gerçi,42
yapılmış,42
devasa,42
gelmişti,42
kara,42
jüstinyen,42
arasından,42
yıllık,42
bakıyorduk,42
kent,42
oğlum,42
eşsiz,42
kız,42
farkında,41
kapıyı,41
farklı,41
içinden,41
nerede,41
asla,41
evin,41
öylece,41
etmeye,41
geçmiş,41
byzas,41
almak,41
imparatorun,41
duran,41
rahat,41
vermek,41
başı,41
kendine,41
yalnız,40
şehir,40
müze,40
geçti,40
diyen,40
kocaman,40
insanı,40
yerinde,40
vakit,40
merhaba,40
nunez,40
uzanan,40
olup,39
ayakta,39
telefonu,39
baş,39
yanıt,39
rengi,39
gemi,39
tanrıya,39
döndüm,39
acaba,39
evde,39
birini,39
taş,39
sarayı,39
oğlu,39
ta,39
çevirdi,39
cesedi,39
biçimde,38
durumu,38
evinde,38
su,38
eli,38
kırmızı,38
haklı,38
sessizce,38
döneminde,38
başlıyor,38
ederim,38
be,38
tümüyle,38
top,38
düşman,37
gizemli,37
elini,37
siyah,37
kendilerini,37
çalıştı,37
çıkan,37
arka,37
yapmış,37
bizden,37
yapmak,37
sürekli,37
konuyu,37
anlamak,37
kablo,37
birbirine,37
tanrının,37
gözlerimi,37
neredeyse,37
çıkmıştı,36
dur,36
yarın,36
teodosius,36
arada,36
söylüyor,36
halinde,36
olmadı,36
anlamı,36
elleri,36
pırıl,36
hazır,35
oraya,35
soğuk,35
çoktan,35
barkın,35
sözlerini,35
madeni,35
heyecan,35
ayrı,35
gelince,35
etmiş,35
diyorum,35
mehmed,35
merakla,35
soru,35
istedim,35
türk,35
olmaz,35
zamanda,35
işler,35
öne,35
yeryüzünün,35
mıydı,35
istanbulun,35
yapılan,35
yaşama,34
gereken,34
bulunuyor,34
varsa,34
neler,34
gülümseme,34
valla,34
defa,34
özellikle,34
ikna,34
tatlı,34
alıp,34
çev,34
hepsini,34
yektanm,34
çalışıyordu,34
otuz,34
ev,34
haklısınız,34
silah,34
sıcak,34
heyecanla,34
eline,34
engel,34
bakışlarım,34
ayasofyanın,33
gören,33
söyledi,33
ah,33
müthiş,33
sayesinde,33
sona,33
adeta,33
sonraki,33
sahibi,33
salladı,33
insanlık,33
bağlı,33
duyduğu,33
attı,33
açıkça,33
gittikçe,33
gitti,33
caminin,33
tarihinde,33
gücü,33
birdenbire,32
olurdu,32
doğrusu,32
değilim,32
tekrar,32
sevinç,32
sırada,32
mutlu,32
bakmayın,32
durum,32
altındaki,32
anlam,32
kavga,32
tahmin,32
bilgi,32
alıyor,32
saray,32
kendime,32
terk,32
çalışan,32
uzak,32
acele,32
kaldırdı,32
kapıya,32
hava,31
olanı,31
verdi,31
scott,31
yaşlı,31
anı,31
yerden,31
çıkıyor,31
sıra,31
belediye,31
yayınları,31
veriyor,31
evgeniaya,31
rüzgâr,31
sık,31
aldım,31
geçerek,31
mümtaz,31
lafı,31
yarım,31
istasyon,31
sesini,31
elinden,31
efsun,31
bina,31
birine,31
taşıma,31
rus,31
kalan,31
ister,31
mesela,30
vermiş,30
arkasından,30
mümkün,30
hak,30
bakışlarımı,30
metre,30
çekti,30
kapıdan,30
zengin,30
kalıyor,30
şehre,30
öte,30
veren,30
süleymaniye,30
denizelin,30
ileri,30
lan,30
şarkı,30
nereden,30
adamlar,30
gerekiyor,30
altına,30
kendinden,30
ara,30
kusura,30
oldum,30
devlet,30
güç,30
bunların,30
birinci,29
dava,29
hatırladım,29
aklıma,29
başında,29
açıkladı,29
mavi,29
ateş,29
avukat,29
yaşam,29
gerekiyordu,29
erken,29
dışarı,29
açtım,29
umut,29
küçücük,29
şefi,29
süren,29
bakarak,29
çıkmış,29
anladım,29
buyurun,29
yukarı,29
önceki,29
ingiliz,29
orta,29
suter,29
sessiz,29
sözlerimi,29
görünüyordu,29
durdu,29
denizin,29
musunuz,28
etmişti,28
arif,28
dönüp,28
yolu,28
ters,28
içi,28
olmadığını,28
yeşil,28
geçiyor,28
koyu,28
sütunun,28
dürüst,28
edip,28
istanbulda,28
oluşan,28
şair,28
yanıtladı,28
