word,count,source
bir,2079,101-InsanliginYildizininParladigiAnlar
ve,2039,101-InsanliginYildizininParladigiAnlar
bu,1242,101-InsanliginYildizininParladigiAnlar
de,470,101-InsanliginYildizininParladigiAnlar
için,434,101-InsanliginYildizininParladigiAnlar
da,406,101-InsanliginYildizininParladigiAnlar
daha,403,101-InsanliginYildizininParladigiAnlar
bütün,335,101-InsanliginYildizininParladigiAnlar
gibi,316,101-InsanliginYildizininParladigiAnlar
o,285,101-InsanliginYildizininParladigiAnlar
kadar,269,101-InsanliginYildizininParladigiAnlar
her,266,101-InsanliginYildizininParladigiAnlar
çok,245,101-InsanliginYildizininParladigiAnlar
büyük,229,101-InsanliginYildizininParladigiAnlar
ne,224,101-InsanliginYildizininParladigiAnlar
sonra,209,101-InsanliginYildizininParladigiAnlar
olan,201,101-InsanliginYildizininParladigiAnlar
en,199,101-InsanliginYildizininParladigiAnlar
fakat,179,101-InsanliginYildizininParladigiAnlar
hiç,147,101-InsanliginYildizininParladigiAnlar
ama,145,101-InsanliginYildizininParladigiAnlar
artık,143,101-InsanliginYildizininParladigiAnlar
iki,135,101-InsanliginYildizininParladigiAnlar
içinde,133,101-InsanliginYildizininParladigiAnlar
hiçbir,132,101-InsanliginYildizininParladigiAnlar
ancak,128,101-InsanliginYildizininParladigiAnlar
yeni,127,101-InsanliginYildizininParladigiAnlar
tek,123,101-InsanliginYildizininParladigiAnlar
bile,123,101-InsanliginYildizininParladigiAnlar
ki,118,101-InsanliginYildizininParladigiAnlar
hemen,117,101-InsanliginYildizininParladigiAnlar
ilk,116,101-InsanliginYildizininParladigiAnlar
son,115,101-InsanliginYildizininParladigiAnlar
zaman,115,101-InsanliginYildizininParladigiAnlar
onu,111,101-InsanliginYildizininParladigiAnlar
olarak,110,101-InsanliginYildizininParladigiAnlar
yalnızca,108,101-InsanliginYildizininParladigiAnlar
ile,107,101-InsanliginYildizininParladigiAnlar
insan,106,101-InsanliginYildizininParladigiAnlar
tolstoy,105,101-InsanliginYildizininParladigiAnlar
şey,105,101-InsanliginYildizininParladigiAnlar
şu,104,101-InsanliginYildizininParladigiAnlar
karşı,102,101-InsanliginYildizininParladigiAnlar
kendi,102,101-InsanliginYildizininParladigiAnlar
çünkü,97,101-InsanliginYildizininParladigiAnlar
önce,96,101-InsanliginYildizininParladigiAnlar
tam,95,101-InsanliginYildizininParladigiAnlar
adam,93,101-InsanliginYildizininParladigiAnlar
kez,93,101-InsanliginYildizininParladigiAnlar
var,90,101-InsanliginYildizininParladigiAnlar
şimdi,88,101-InsanliginYildizininParladigiAnlar
ya,86,101-InsanliginYildizininParladigiAnlar
doğru,85,101-InsanliginYildizininParladigiAnlar
gün,83,101-InsanliginYildizininParladigiAnlar
yeniden,83,101-InsanliginYildizininParladigiAnlar
iyi,82,101-InsanliginYildizininParladigiAnlar
olduğunu,80,101-InsanliginYildizininParladigiAnlar
anda,79,101-InsanliginYildizininParladigiAnlar
savaş,78,101-InsanliginYildizininParladigiAnlar
olduğu,78,101-InsanliginYildizininParladigiAnlar
onun,77,101-InsanliginYildizininParladigiAnlar
geri,77,101-InsanliginYildizininParladigiAnlar
yok,77,101-InsanliginYildizininParladigiAnlar
on,74,101-InsanliginYildizininParladigiAnlar
hayır,71,101-InsanliginYildizininParladigiAnlar
böyle,71,101-InsanliginYildizininParladigiAnlar
değil,71,101-InsanliginYildizininParladigiAnlar
nasıl,67,101-InsanliginYildizininParladigiAnlar
küçük,67,101-InsanliginYildizininParladigiAnlar
ona,66,101-InsanliginYildizininParladigiAnlar
işte,66,101-InsanliginYildizininParladigiAnlar
birkaç,65,101-InsanliginYildizininParladigiAnlar
binlerce,65,101-InsanliginYildizininParladigiAnlar
diye,63,101-InsanliginYildizininParladigiAnlar
händel,63,101-InsanliginYildizininParladigiAnlar
yıl,63,101-InsanliginYildizininParladigiAnlar
yine,61,101-InsanliginYildizininParladigiAnlar
oluyor,61,101-InsanliginYildizininParladigiAnlar
kendisine,60,101-InsanliginYildizininParladigiAnlar
şeyi,59,101-InsanliginYildizininParladigiAnlar
türlü,59,101-InsanliginYildizininParladigiAnlar
henüz,58,101-InsanliginYildizininParladigiAnlar
başka,58,101-InsanliginYildizininParladigiAnlar
ben,58,101-InsanliginYildizininParladigiAnlar
yüz,58,101-InsanliginYildizininParladigiAnlar
öyle,57,101-InsanliginYildizininParladigiAnlar
üç,56,101-InsanliginYildizininParladigiAnlar
yavaş,55,101-InsanliginYildizininParladigiAnlar
bana,55,101-InsanliginYildizininParladigiAnlar
altın,55,101-InsanliginYildizininParladigiAnlar
kendisini,54,101-InsanliginYildizininParladigiAnlar
sonunda,53,101-InsanliginYildizininParladigiAnlar
dört,53,101-InsanliginYildizininParladigiAnlar
birlikte,53,101-InsanliginYildizininParladigiAnlar
balboa,52,101-InsanliginYildizininParladigiAnlar
bunu,52,101-InsanliginYildizininParladigiAnlar
ele,52,101-InsanliginYildizininParladigiAnlar
ediyor,52,101-InsanliginYildizininParladigiAnlar
üzerine,51,101-InsanliginYildizininParladigiAnlar
aynı,50,101-InsanliginYildizininParladigiAnlar
evet,50,101-InsanliginYildizininParladigiAnlar
pek,49,101-InsanliginYildizininParladigiAnlar
yerine,48,101-InsanliginYildizininParladigiAnlar
boyunca,48,101-InsanliginYildizininParladigiAnlar
belki,47,101-InsanliginYildizininParladigiAnlar
hâlâ,47,101-InsanliginYildizininParladigiAnlar
yol,46,101-InsanliginYildizininParladigiAnlar
ikinci,46,101-InsanliginYildizininParladigiAnlar
bin,46,101-InsanliginYildizininParladigiAnlar
böylece,46,101-InsanliginYildizininParladigiAnlar
dünya,45,101-InsanliginYildizininParladigiAnlar
hep,45,101-InsanliginYildizininParladigiAnlar
zorunda,44,101-InsanliginYildizininParladigiAnlar
an,44,101-InsanliginYildizininParladigiAnlar
öteki,43,101-InsanliginYildizininParladigiAnlar
gece,43,101-InsanliginYildizininParladigiAnlar
geliyor,43,101-InsanliginYildizininParladigiAnlar
biri,43,101-InsanliginYildizininParladigiAnlar
beri,43,101-InsanliginYildizininParladigiAnlar
genç,43,101-InsanliginYildizininParladigiAnlar
ağır,43,101-InsanliginYildizininParladigiAnlar
acı,42,101-InsanliginYildizininParladigiAnlar
üzerinde,42,101-InsanliginYildizininParladigiAnlar
kutsal,42,101-InsanliginYildizininParladigiAnlar
dev,41,101-InsanliginYildizininParladigiAnlar
benim,41,101-InsanliginYildizininParladigiAnlar
yere,41,101-InsanliginYildizininParladigiAnlar
arasında,41,101-InsanliginYildizininParladigiAnlar
saat,40,101-InsanliginYildizininParladigiAnlar
nunez,40,101-InsanliginYildizininParladigiAnlar
bulunan,40,101-InsanliginYildizininParladigiAnlar
gerçek,39,101-InsanliginYildizininParladigiAnlar
adamın,39,101-InsanliginYildizininParladigiAnlar
hareket,39,101-InsanliginYildizininParladigiAnlar
beni,39,101-InsanliginYildizininParladigiAnlar
gemi,39,101-InsanliginYildizininParladigiAnlar
önünde,38,101-InsanliginYildizininParladigiAnlar
tarafından,38,101-InsanliginYildizininParladigiAnlar
tıpkı,38,101-InsanliginYildizininParladigiAnlar
yüzünden,38,101-InsanliginYildizininParladigiAnlar
kablo,37,101-InsanliginYildizininParladigiAnlar
burada,37,101-InsanliginYildizininParladigiAnlar
devam,37,101-InsanliginYildizininParladigiAnlar
yardım,37,101-InsanliginYildizininParladigiAnlar
başlıyor,37,101-InsanliginYildizininParladigiAnlar
tanrı,36,101-InsanliginYildizininParladigiAnlar
