word,count,source
bir,302,sayi_11
ve,184,sayi_11
bu,138,sayi_11
de,95,sayi_11
da,85,sayi_11
için,74,sayi_11
o,73,sayi_11
çok,71,sayi_11
ne,68,sayi_11
gibi,67,sayi_11
her,61,sayi_11
kadar,40,sayi_11
ama,40,sayi_11
sonra,38,sayi_11
en,37,sayi_11
eğitim,33,sayi_11
ben,33,sayi_11
çocuk,31,sayi_11
güzel,29,sayi_11
özel,29,sayi_11
annem,28,sayi_11
benim,28,sayi_11
bana,26,sayi_11
nasıl,26,sayi_11
yeni,26,sayi_11
ile,25,sayi_11
braille,25,sayi_11
zaman,24,sayi_11
ki,24,sayi_11
türkçe,23,sayi_11
beni,23,sayi_11
olarak,23,sayi_11
diye,23,sayi_11
kelime,22,sayi_11
olduğunu,22,sayi_11
daha,21,sayi_11
doğru,21,sayi_11
ilk,21,sayi_11
var,20,sayi_11
onu,20,sayi_11
kitap,20,sayi_11
iki,19,sayi_11
mı,19,sayi_11
hem,18,sayi_11
sadece,18,sayi_11
büyük,17,sayi_11
işte,17,sayi_11
artık,17,sayi_11
hiç,17,sayi_11
böyle,16,sayi_11
küçük,16,sayi_11
mi,16,sayi_11
dil,16,sayi_11
tüm,16,sayi_11
babam,16,sayi_11
harfler,16,sayi_11
demek,15,sayi_11
içinde,15,sayi_11
babası,15,sayi_11
bazen,15,sayi_11
olan,14,sayi_11
kelimeler,14,sayi_11
gün,14,sayi_11
mehmet,14,sayi_11
önce,14,sayi_11
hep,14,sayi_11
çocuklar,14,sayi_11
devam,14,sayi_11
oyun,14,sayi_11
bütün,13,sayi_11
kelimelerin,13,sayi_11
geldi,13,sayi_11
kendi,13,sayi_11
dedi,13,sayi_11
onun,13,sayi_11
tam,13,sayi_11
su,13,sayi_11
aynı,13,sayi_11
ses,13,sayi_11
güneş,13,sayi_11
iyi,13,sayi_11
olur,13,sayi_11
şey,13,sayi_11
bile,12,sayi_11
nokta,12,sayi_11
aile,12,sayi_11
sarı,12,sayi_11
hemen,12,sayi_11
ise,12,sayi_11
anne,12,sayi_11
eğitimi,12,sayi_11
kim,12,sayi_11
sabah,11,sayi_11
vardı,11,sayi_11
eski,11,sayi_11
tren,11,sayi_11
kelimeleri,11,sayi_11
sanki,11,sayi_11
şeyler,11,sayi_11
farklı,11,sayi_11
yağ,11,sayi_11
gök,11,sayi_11
şekilde,10,sayi_11
millî,10,sayi_11
değil,10,sayi_11
kırmızı,10,sayi_11
şimdi,10,sayi_11
aman,10,sayi_11
yeniden,10,sayi_11
dilimizin,10,sayi_11
bize,10,sayi_11
tek,10,sayi_11
annemin,10,sayi_11
ali,10,sayi_11
yer,10,sayi_11
seti,10,sayi_11
yavaş,9,sayi_11
a,9,sayi_11
gelir,9,sayi_11
cümle,9,sayi_11
türk,9,sayi_11
çünkü,9,sayi_11
geçen,9,sayi_11
diyor,9,sayi_11
burada,9,sayi_11
odanın,9,sayi_11
belki,9,sayi_11
oldu,9,sayi_11
birçok,9,sayi_11
yok,9,sayi_11
sesler,9,sayi_11
kısa,9,sayi_11
onunla,8,sayi_11
dünyanın,8,sayi_11
veya,8,sayi_11
onları,8,sayi_11
yine,8,sayi_11
olduğu,8,sayi_11
olsa,8,sayi_11
bugün,8,sayi_11
önemli,8,sayi_11
şiirler,8,sayi_11
tekrar,8,sayi_11
down,8,sayi_11
biri,8,sayi_11
bizim,8,sayi_11
sesi,8,sayi_11
bunları,8,sayi_11
misin,8,sayi_11
sıra,8,sayi_11
radyo,8,sayi_11
üzüm,7,sayi_11
gerçekten,7,sayi_11
okumayı,7,sayi_11
mavisi,7,sayi_11
birlikte,7,sayi_11
uzun,7,sayi_11
pervane,7,sayi_11
çocukların,7,sayi_11
buna,7,sayi_11
tatlı,7,sayi_11
ilgili,7,sayi_11
olmak,7,sayi_11
basketbol,7,sayi_11
hafta,7,sayi_11
anda,7,sayi_11
ettim,7,sayi_11
oktay,7,sayi_11
spor,7,sayi_11
kelimenin,7,sayi_11
yıl,7,sayi_11
herkes,7,sayi_11
siz,7,sayi_11
yol,7,sayi_11
dostum,7,sayi_11
kez,7,sayi_11
babamın,7,sayi_11
ediyor,7,sayi_11
yerine,7,sayi_11
sen,7,sayi_11
bak,7,sayi_11
yılında,7,sayi_11
bazı,7,sayi_11
başında,7,sayi_11
üzerinde,7,sayi_11
fikir,6,sayi_11
eve,6,sayi_11
boyunca,6,sayi_11
yaşlı,6,sayi_11
yeter,6,sayi_11
