id;document;tag;content
10;O1.docx;1b. Bütün nesne;Aslında biz tüm sembolleri kullanıyoruz. Buraya işte bütün XXX diş fırçası yeri geliyor bunu kullanıyoruz oyun hamurları ile ilgili işlem yapıyoruz etkinlik derslerimizde.
10;O1.docx;1b. Nesne parçası;Aslında biz tüm sembolleri kullanıyoruz. Buraya işte bütün XXX diş fırçası yeri geliyor bunu kullanıyoruz oyun hamurları ile ilgili işlem yapıyoruz etkinlik derslerimizde.
10;O1.docx;1b. İlişkili nesne;Aslında biz tüm sembolleri kullanıyoruz. Buraya işte bütün XXX diş fırçası yeri geliyor bunu kullanıyoruz oyun hamurları ile ilgili işlem yapıyoruz etkinlik derslerimizde.
10;O1.docx;1. Kullanım;Aslında biz tüm sembolleri kullanıyoruz. Buraya işte bütün XXX diş fırçası yeri geliyor bunu kullanıyoruz oyun hamurları ile ilgili işlem yapıyoruz etkinlik derslerimizde.
10;O1.docx;1d. Nesne/somut materyal;Aslında biz tüm sembolleri kullanıyoruz. Buraya işte bütün XXX diş fırçası yeri geliyor bunu kullanıyoruz oyun hamurları ile ilgili işlem yapıyoruz etkinlik derslerimizde.
11;O1.docx;1b. Yapı/doku;Yine aynı şekilde yapı veya şekilleri kumaş, tahtaların değişik sembolleri kullanabiliyoruz.
11;O1.docx;1. Kullanım;Yine aynı şekilde yapı veya şekilleri kumaş, tahtaların değişik sembolleri kullanabiliyoruz.
11;O1.docx;1b. Şekil;Yine aynı şekilde yapı veya şekilleri kumaş, tahtaların değişik sembolleri kullanabiliyoruz.
12;O1.docx;1b. Dokunsal resim/grafik;Dokunabilir sembolleri kullanıyoruz. Resim şöyle totallık resim görmediği için resim kullanmıyoruz çocuklarımıza. Çizgi resim çizgi Braillele şeyler çizim tahtasında olan şeylerimizi kullanıyoruz bilirsiniz sizde ruletle çizim XXX değil yani belirtiyorum ben buraya ruletli çizim diyorum da bilginiz olsun en azından. Ruletli çizimler o tür çizgi resimler kullanıyoruz hocam.
12;O1.docx;1. Kullanım;Dokunabilir sembolleri kullanıyoruz. Resim şöyle totallık resim görmediği için resim kullanmıyoruz çocuklarımıza. Çizgi resim çizgi Braillele şeyler çizim tahtasında olan şeylerimizi kullanıyoruz bilirsiniz sizde ruletle çizim XXX değil yani belirtiyorum ben buraya ruletli çizim diyorum da bilginiz olsun en azından. Ruletli çizimler o tür çizgi resimler kullanıyoruz hocam.
12;O1.docx;1e. Görme engelli (total);Dokunabilir sembolleri kullanıyoruz. Resim şöyle totallık resim görmediği için resim kullanmıyoruz çocuklarımıza. Çizgi resim çizgi Braillele şeyler çizim tahtasında olan şeylerimizi kullanıyoruz bilirsiniz sizde ruletle çizim XXX değil yani belirtiyorum ben buraya ruletli çizim diyorum da bilginiz olsun en azından. Ruletli çizimler o tür çizgi resimler kullanıyoruz hocam.
13;O1.docx;1b. Dokunsal resim/grafik;Fotoğraf kullanmıyoruz. Fotoğrafın yukarıda baskı makinamız var kabartımsı bir şeyin kabartılmış halini basıyoruz sıcak makinada.
13;O1.docx;1. Kullanım;Fotoğraf kullanmıyoruz. Fotoğrafın yukarıda baskı makinamız var kabartımsı bir şeyin kabartılmış halini basıyoruz sıcak makinada.
14;O1.docx;1b. Dokunsal resim/grafik;Yani XXX makinası şekilde bir makine var kütüphanede bunu narin yani bir anahtarı inceletmek için yani anahtarı bir nesne veririz bir de kabartılmış şeklini veririz farklı olarak yani. Ya da bazen nesne bulamazsak eğer direk oradan makinadan baskı olarak alabiliriz.
14;O1.docx;1. Kullanım;Yani XXX makinası şekilde bir makine var kütüphanede bunu narin yani bir anahtarı inceletmek için yani anahtarı bir nesne veririz bir de kabartılmış şeklini veririz farklı olarak yani. Ya da bazen nesne bulamazsak eğer direk oradan makinadan baskı olarak alabiliriz.
14;O1.docx;1d. Nesne/somut materyal;Yani XXX makinası şekilde bir makine var kütüphanede bunu narin yani bir anahtarı inceletmek için yani anahtarı bir nesne veririz bir de kabartılmış şeklini veririz farklı olarak yani. Ya da bazen nesne bulamazsak eğer direk oradan makinadan baskı olarak alabiliriz.
15;O1.docx;1b. Dokunsal resim/grafik;Sıcak bir baskı şeyi mesela evimizin anahtarı bir çelik kapı anahtarı düşünün mesela onun üzerinde neler vardır delikler vardır değil mi bir yüzünde kanal vardır hani girmesi gereken daha sonrasında arka tarafında elimizin tuttuğu yerde de şu anahtarlığın geçmesi için yuvarlak bir delik vardır bilirsiniz. Muhittin Taşdemir. Anahtarı makinanın üzerine koyduğunuz zaman, alta da termofon kağıdımızı biliyorsunuz şu şeffaf yağlı bir kağıdımız var farklı bir kağıdımız onu koyduğunuz zaman da makine sıcak baskı yapıyor ütü şeklinde düşünün yani mantığını anlayabildin mi yani üstten baskı olduğu zaman anahtarın şekli kalıp şeklinde tüm anahtarını her şeyini ne kadar üzerinde çelik kapıda bilyeli sistem vardır bilirsiniz yani delik deşik kaç tane nokta varsa aynı şekilde çıkartır makine yani bunu da inceletiriz yani.  Yani biz fotoğraf olarak biz bunu yapabiliyoruz
15;O1.docx;1. Kullanım;Sıcak bir baskı şeyi mesela evimizin anahtarı bir çelik kapı anahtarı düşünün mesela onun üzerinde neler vardır delikler vardır değil mi bir yüzünde kanal vardır hani girmesi gereken daha sonrasında arka tarafında elimizin tuttuğu yerde de şu anahtarlığın geçmesi için yuvarlak bir delik vardır bilirsiniz. Muhittin Taşdemir. Anahtarı makinanın üzerine koyduğunuz zaman, alta da termofon kağıdımızı biliyorsunuz şu şeffaf yağlı bir kağıdımız var farklı bir kağıdımız onu koyduğunuz zaman da makine sıcak baskı yapıyor ütü şeklinde düşünün yani mantığını anlayabildin mi yani üstten baskı olduğu zaman anahtarın şekli kalıp şeklinde tüm anahtarını her şeyini ne kadar üzerinde çelik kapıda bilyeli sistem vardır bilirsiniz yani delik deşik kaç tane nokta varsa aynı şekilde çıkartır makine yani bunu da inceletiriz yani.  Yani biz fotoğraf olarak biz bunu yapabiliyoruz
15;O1.docx;1d. Nesne/somut materyal;Sıcak bir baskı şeyi mesela evimizin anahtarı bir çelik kapı anahtarı düşünün mesela onun üzerinde neler vardır delikler vardır değil mi bir yüzünde kanal vardır hani girmesi gereken daha sonrasında arka tarafında elimizin tuttuğu yerde de şu anahtarlığın geçmesi için yuvarlak bir delik vardır bilirsiniz. Muhittin Taşdemir. Anahtarı makinanın üzerine koyduğunuz zaman, alta da termofon kağıdımızı biliyorsunuz şu şeffaf yağlı bir kağıdımız var farklı bir kağıdımız onu koyduğunuz zaman da makine sıcak baskı yapıyor ütü şeklinde düşünün yani mantığını anlayabildin mi yani üstten baskı olduğu zaman anahtarın şekli kalıp şeklinde tüm anahtarını her şeyini ne kadar üzerinde çelik kapıda bilyeli sistem vardır bilirsiniz yani delik deşik kaç tane nokta varsa aynı şekilde çıkartır makine yani bunu da inceletiriz yani.  Yani biz fotoğraf olarak biz bunu yapabiliyoruz
16;O1.docx;1. Kullanım;ama eğer az gören sınıflarımızda puntosu büyütülmüş fotoğraflar resimler bunlar kullanılabilmekte.
16;O1.docx;1b. Resim/fotoğraf;ama eğer az gören sınıflarımızda puntosu büyütülmüş fotoğraflar resimler bunlar kullanılabilmekte.
16;O1.docx;1d. Görsel uyarlama;ama eğer az gören sınıflarımızda puntosu büyütülmüş fotoğraflar resimler bunlar kullanılabilmekte.
16;O1.docx;1e. Görme engelli (az gören);ama eğer az gören sınıflarımızda puntosu büyütülmüş fotoğraflar resimler bunlar kullanılabilmekte.
